in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2,6.1,18,3.4,5,4.4,0.4,0,1,2,20,3028.2,86.2,164036,208519,346.4,104.7,328.5,2360661.9,6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2_0__Perspective.png,6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2.json
6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9,6.9,18.4,3.1,3.8,5.6,1.7,0.7,1,0,90,4247.8,78.5,201311,235345,364.0,126.3,136.6,2662779.8,6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9_0__Perspective.png,6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9.json
8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0,8.4,17.9,2.8,3.7,4.7,0.2,-0.6,0,1,0,4775.2,64.7,202040,272850,286.6,267.5,153.5,3379220.0,8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0_0__Perspective.png,8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0.json
6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7,6.7,17.3,3.3,4.8,5.8,-0.7,-0.5,1,1,70,3514,92.1,180191,239044,381.3,142.9,189.0,2506348.3,6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7_0__Perspective.png,6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7.json
7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8,7.5,19.5,3.2,5.1,6.4,0.5,-1,0,0,80,4703.8,88.4,243811,275930,346.2,323.2,155.0,3877927.0,7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8_0__Perspective.png,7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8.json
7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6,7.4,18.2,2.6,4.1,5.4,0.9,0.7,0,1,60,4419.1,70.4,194489,262415,308.2,287.8,153.4,3311410.0,7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6_0__Perspective.png,7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6.json
6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6,6.8,17.6,3.1,3.4,4.3,0.6,0.4,1,1,60,3753.6,52.7,162301,219566,434.1,99.5,138.1,2520834.2,6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6_0__Perspective.png,6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6.json
6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9,6.6,18.4,3,5.8,6,-0.1,-0.8,0,2,90,3696.5,91.8,190423,253746,350.8,327.5,305.6,3637292.0,6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9_0__Perspective.png,6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9.json
7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9,7.2,19.3,2.9,5.3,4.8,0.3,-0.1,1,1,90,4052.3,65.9,197586,257970,527.3,126.6,140.7,3219907.5,7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9_0__Perspective.png,7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9.json
6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9,6.9,18.9,3.1,3.5,4.3,-1.9,-0.8,1,1,90,4467,46.7,170198,237566,341.6,102.1,111.8,2481471.7,6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9_0__Perspective.png,6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9.json
7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5,7.2,17.8,3,3.3,4.2,0.8,0.4,1,1,50,4085.8,49.6,168131,230246,312.3,89.8,130.5,2176154.2,7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5_0__Perspective.png,7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5.json
8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7,8.6,18.9,2.7,3.2,6.2,0.6,0.2,0,2,70,5136.5,71.5,238020,319052,341.9,319.2,256.2,4711120.0,8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7_0__Perspective.png,8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7.json
6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4,6.5,17.1,2.9,3.3,6.1,1.3,-0.6,0,1,40,3680.9,98.1,182881,237391,297.3,277.6,206.4,2876055.0,6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4_0__Perspective.png,6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4.json
7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3,7.1,19.7,3.2,5.7,5.4,-1,-0.4,1,2,30,4242.1,86.5,206916,272747,447.7,106.3,310.2,3665603.2,7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3_0__Perspective.png,7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3.json
6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4,6.9,18,3.2,4.4,4.9,-1.2,-0.4,1,2,40,3883.8,72.9,178575,237373,443.0,102.5,275.9,3189966.0,6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4_0__Perspective.png,6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4.json
7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3,7.6,15.8,3.2,5.4,4.7,0.8,-0.4,0,2,30,3579.5,68.9,165977,224355,311.6,290.9,273.9,3137240.0,7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3_0__Perspective.png,7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3.json
