Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.7196-0.3199-1.727-1.4969-1.103,0.7196,0.3199,1.727,1.4969,1.103,4.771,0.286,0.161,0.725,Frame_00275.bmp,d3_275.json
0.5016-0.1666-0.6245-1.2525-1.394,0.5016,0.1666,0.6245,1.2525,1.394,4.155,0.23,0.027,0.669,Frame_00276.bmp,d3_276.json
0.7188-0.2587-0.894-1.4371-1.566,0.7188,0.2587,0.894,1.4371,1.566,6.568,0.309,0.043,0.568,Frame_00277.bmp,d3_277.json
0.5528-0.3466-1.30525-1.3162-1.417,0.5528,0.3466,1.30525,1.3162,1.417,4.763,0.266,0.093,0.674,Frame_00278.bmp,d3_278.json
0.5624-0.1549-1.0445-0.9574-1.851,0.5624,0.1549,1.0445,0.9574,1.851,2.975,0.21,0.087,0.855,Frame_00279.bmp,d3_279.json
0.6196-0.1099-1.629-1.1628-1.485,0.6196,0.1099,1.629,1.1628,1.485,3.742,0.248,0.177,0.802,Frame_00280.bmp,d3_280.json
0.5628-0.2629-1.2545-0.9509-1.502,0.5628,0.2629,1.2545,0.9509,1.502,2.306,0.183,0.133,0.958,Frame_00281.bmp,d3_281.json
0.8468-0.1357-0.25-0.8417-1.134,0.8468,0.1357,0.25,0.8417,1.134,1.208,0.11,0.022,1.101,Frame_00282.bmp,d3_282.json
0.6736-0.2953-1.56775-0.9444-1.467,0.6736,0.2953,1.56775,0.9444,1.467,2.206,0.19,0.214,1.041,Frame_00283.bmp,d3_283.json
0.8212-0.3328-1.111-1.9584-1.547,0.8212,0.3328,1.111,1.9584,1.547,13.084,0.477,0.041,0.441,Frame_00284.bmp,d3_284.json
0.6416-0.1933-0.57725-0.7299-1.71,0.6416,0.1933,0.57725,0.7299,1.71,1.332,0.132,0.053,1.197,Frame_00285.bmp,d3_285.json
